ur afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Acquisition ... fait 
Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Mesures en acceleration 
Courant;Position;Vitesse 
2878;0;0 
3084;0;0 
2587;0;0 
0;0;0 
3047;1;0 
2630;1;0 
2491;1;0 
3072;1;0 
3333;2;1000 
0;2;0 
0;2;0 
2386;3;0 
2657;3;0 
2570;3;0 
2863;3;0 
0;3;0 
0;4;0 
2717;4;0 
2506;4;0 
2667;5;0 
2933;5;0 
2619;6;0 
0;6;0 
0;6;0 
2321;7;0 
1887;7;0 
2869;7;0 
2946;8;0 
0;8;0 
0;9;1000 
2338;9;0 
2614;10;0 
2642;10;0 
2288;11;0 
2678;11;0 
0;12;1000 
2291;12;0 
2337;13;0 
2739;14;0 
2757;14;0 
2728;15;0 
0;15;0 
0;16;0 
2328;17;0 
2779;17;0 
2596;18;0 
2406;19;0 
0;19;0 
0;20;1000 
1872;21;0 
2756;22;0 
2068;22;0 
2424;23;0 
2638;23;0 
0;24;0 
0;25;0 
2254;26;0 
1895;27;0 
2419;27;0 
2214;28;0 
0;29;0 
0;30;0 
1948;31;0 
2562;31;0 
1917;32;0 
2530;33;0 
2631;34;0 
0;35;0 
2609;36;0 
1868;37;1000 
2756;38;0 
2215;39;1000 
2426;39;0 
0;40;0 
0;41;0 
1980;42;0 
2450;43;0 
2278;44;1000 
2505;45;0 
0;46;0 
0;47;0 
2166;48;0 
2114;49;0 
2382;50;0 
2221;51;0 
2138;52;1000 
0;53;0 
432;54;0 
2332;55;0 
1891;56;0 
2422;57;0 
2264;59;1000 
0;59;0 
0;60;0 
2279;62;0 
2029;63;1000 
2376;63;0 
2212;65;1000 
2252;66;0 
0;67;0 
2124;68;0 
2286;69;0 
1943;71;1000 
2272;71;0 
1926;73;1000 
0;74;0 
0;75;0 
1661;76;0 
2520;78;0 
1980;79;0 
2167;80;1000 
0;81;1000 
0;83;0 
2220;83;0 
1920;85;1000 
2162;86;0 
2158;87;0 
1703;88;0 
0;90;1000 
0;91;0 
1954;92;1000 
2509;94;0 
2223;95;0 
1995;96;1000 
0;97;0 
0;99;1000 
1957;100;1000 
2226;101;0 
1815;103;1000 
2207;104;1000 
2188;105;1000 
0;107;1000 
2205;108;0 
1998;109;0 
1793;111;1000 
2035;112;0 
2309;113;0 
0;115;1000 
0;116;1000 
2256;117;0 
1768;119;1000 
1956;120;1000 
2468;122;0 
0;123;0 
0;124;1000 
2057;126;1000 
1947;127;0 
1663;129;0 
2314;130;0 
2245;131;0 
0;133;1000 
2924;135;0 
2049;136;0 
2076;137;0 
1778;139;1000 
1893;140;1000 
0;142;0 
0;143;0 
1798;144;0 
1965;146;1000 
2031;147;0 
2008;149;1000 
1888;151;1000 
0;152;0 
2573;154;0 
1881;155;0 
1518;156;1000 
2210;158;0 
2162;159;0 
0;161;1000 
0;163;1000 
1951;164;1000 
1906;166;1000 
1979;167;0 
1757;169;0 
0;171;1000 
0;172;0 
2091;173;0 
1921;175;1000 
1507;176;0 
2209;178;1000 
2174;179;0 
0;181;0 
0;183;1000 
1869;184;0 
2003;186;1000 
2125;187;0 
1963;189;1000 
0;191;1000 
0;192;0 
2151;194;1000 
2051;195;0 
2078;197;1000 
1783;199;0 
1636;200;0 
0;202;1000 
2337;204;0 
1828;206;0 
1943;207;0 
1724;209;0 
1776;211;1000 
0;212;1000 
0;214;1000 
1916;215;0 
1963;217;1000 
1776;219;0 
1796;220;0 
0;223;0 
0;224;1000 
1949;226;0 
1892;227;0 
1902;229;1000 
1584;231;1000 
1533;233;0 
0;235;0 
0;236;1000 
2065;238;1000 
1875;239;0 
2201;241;0 
1950;243;0 
0;245;1000 
0;247;0 
1551;248;1000 
1947;250;1000 
1953;252;0 
2214;254;1000 
1917;255;0 
0;257;1000 
1946;259;1000 
1606;261;0 
1737;263;1000 
1907;264;1000 
1878;266;0 
0;268;0 
0;270;1000 
1803;271;0 
1881;273;0 
2122;275;0 
1842;277;1000 
0;279;0 
0;280;1000 
1543;283;1000 
1735;284;0 
1566;286;1000 
1904;288;1000 
2162;290;1000 
0;292;0 
0;294;0 
1802;295;0 
2194;297;0 
1819;299;0 
1887;301;1000 
0;303;1000 
0;305;1000 
1248;307;0 
1453;309;0 
1550;311;1000 
1348;312;1000 
1910;315;1000 
0;316;1000 
2152;319;0 
1453;320;1000 
1499;322;1000 
1849;324;1000 
1772;326;1000 
0;328;1000 
0;330;1000 
1601;332;0 
2065;334;1000 
1900;336;0 
2144;338;1000 
0;339;0 
0;342;0 
1755;343;0 
1784;346;0 
1892;347;0 
1938;350;1000 
1923;351;0 
0;354;1000 
0;355;0 
2063;358;0 
1807;359;0 
2052;362;0 
2041;363;0 
0;366;0 
0;367;0 
1761;370;1000 
1656;371;0 
1948;374;1000 
1862;375;0 
126;378;1000 
0;379;0 
2160;382;1000 
1702;383;0 
1912;386;0 
1958;387;0 
1966;390;0 
0;391;0 
0;394;0 
1639;395;0 
1970;398;0 
1857;400;0 
1917;402;0 
0;404;0 
0;406;1000 
1599;408;0 
1787;410;1000 
1620;412;0 
1923;414;1000 
1801;416;1000 
0;419;1000 
1189;420;1000 
1412;423;1000 
1528;424;1000 
1350;427;1000 
1490;429;1000 
0;431;1000 
0;433;1000 
1444;435;1000 
1518;437;0 
1612;439;1000 
1756;441;1000 
1775;443;1000 
0;445;1000 
1970;447;0 
1842;450;0 
1816;451;0 
2057;454;0 
1826;455;0 
0;458;1000 
0;460;1000 
1409;462;1000 
1586;464;1000 
1501;467;1000 
1578;468;1000 
0;471;1000 
0;473;1000 
1341;475;1000 
1410;477;0 
1520;479;0 
1878;481;1000 
1926;483;0 
0;486;0 
0;487;0 
1685;490;1000 
1574;492;1000 
1878;494;1000 
1333;496;1000 
0;499;0 
0;500;0 
1376;503;0 
1376;505;1000 
1532;507;0 
1802;509;1000 
1847;511;0 
0;514;1000 
1809;516;0 
1643;518;1000 
1329;520;1000 
1389;523;0 
1575;524;1000 
0;527;1000 
0;529;1000 
1194;531;1000 
1667;533;0 
1647;535;0 
2006;538;1000 
0;540;0 
0;542;1000 
1418;544;1000 
1155;547;0 
1509;549;1000 
1587;551;1000 
1679;553;1000 
0;555;1000 
2756;558;0 
1542;560;0 
1496;562;1000 
1636;564;1000 
1288;567;1000 
0;569;0 
0;571;0 
1320;573;1000 
1417;575;0 
1744;578;1000 
1703;580;0 
1454;582;1000 
0;584;1000 
1436;587;1000 
1151;589;0 
1457;591;0 
1737;593;1000 
1792;595;0 
0;598;1000 
0;600;0 
1044;603;0 
1399;604;1000 
1012;607;1000 
1476;609;0 
0;611;0 
0;614;1000 
1417;616;0 
1626;619;0 
1411;620;1000 
1512;623;1000 
1499;625;1000 
0;627;0 
0;630;1000 
1469;632;0 
1597;634;1000 
996;636;1000 
1354;639;1000 
0;641;1000 
0;643;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
